BoS level,,,"How to use (make a copy first, under Share/export on mobile, or File on PC!): ",,,,,,,5.00E+150,1,1.00E+00,1.00E+00
1.00E+43,,,"Input BoS level, lifetime relics and desired percentage of lifetime relics that should go to BoS",,,,,,,1.00E+43,2,3.00E+00,4.00E+00
,,,Input the number of owned artifacts plus the number of enchanted artifacts.,,,,,,,5.00E+150,3,7.00E+00,1.10E+01
Desired BoS percentage,,,Required BoS level will give what BoS should be with current lifetime relics,,,,,,,,4,1.20E+01,2.30E+01
50%,,,"Pump to this level will give required BoS level to catch up, assuming you only put relics in BoS and have no relics left",,,,,,,,5,1.90E+01,4.20E+01
,,,Current percentage will give the current percentage of lifetime relics in BoS,,,,,,,,6,3.00E+01,7.20E+01
Lifetime relics,,,,,,,,,,,7,4.60E+01,1.18E+02
5.00E+150,,,It doesn't matter which format you input:,,,,,,,,8,6.90E+01,1.87E+02
,,,K = E+03,aa = E+15,aaa = error,,,,,,9,1.02E+02,2.89E+02
Ignore relics spent on unlock,,,M = E+06,ab = E+18,It can't handle three letters,,,,,,10,1.49E+02,4.38E+02
Yes,,,B = E+09,ac = E+21,,,,,,,11,2.14E+02,6.52E+02
,,,T = E+12,etc.,,,,,,,12,3.07E+02,9.59E+02
Artifacts owned + enchanted,,,,,,,,,,,13,4.35E+02,1.39E+03
138,,,Made by Mmlh,,,,,,,,14,6.14E+02,2.01E+03
,,,Thanks to Kookie Monster for the BoS cost formula!,,,,,,,,15,8.61E+02,2.87E+03
Required BoS level,,,Thanks to Mordial for the code to deal with any kind of input!,,,,,,,,16,1.20E+03,4.07E+03
1.48055E+43,,,Thanks to Mordial for helping me understand Sheets better as well!,,,,,,,,17,1.68E+03,5.75E+03
,,,Thanks to BlueFyre for putting all the sheets in one doc!,,,,,,,,18,2.32E+03,8.07E+03
Pump to this level,,,Thanks to Kookie Monster for the 'update available' cell!,,,,,,,,19,3.21E+03,1.13E+04
1.73633E+43,,,"Last change: 25th of January, 12:09 GMT",,,,,,,,20,4.43E+03,1.57E+04
,,,,,,,,,,,21,6.09E+03,2.18E+04
Current percentage,,,Link (to update the sheet): ,,https://tinyurl.com/smallsheets,,,,,,22,8.36E+03,3.02E+04
12.7%,,,Discord support server:,,https://discord.gg/9xjbqp8,,,,,,23,1.15E+04,4.17E+04
,,,,,,,,,,,24,1.57E+04,5.74E+04
,,,,,,,,,,,25,2.14E+04,7.88E+04
,,,,,,,,,,,26,2.91E+04,1.08E+05
,,,,,,,,,,,27,3.96E+04,1.47E+05
,,,,,,,,,,,28,5.38E+04,2.01E+05
,,,,,,,,,,,29,7.30E+04,2.74E+05
,,,,,,,,,,,30,9.89E+04,3.73E+05
,,,,,,,,,,,31,1.34E+05,5.07E+05
,,,,,,,,,,,32,1.81E+05,6.88E+05
,,,,,,,,,,,33,2.45E+05,9.33E+05
,,,,,,,,,,,34,3.30E+05,1.26E+06
,,,,,,,,,,,35,4.45E+05,1.71E+06
,,,,,,,,,,,36,6.00E+05,2.31E+06
,,,,,,,,,,,37,8.08E+05,3.12E+06
,,,,,,,,,,,38,1.09E+06,4.21E+06
,,,,,,,,,,,39,1.46E+06,5.67E+06
,,,,,,,,,,,40,1.96E+06,7.63E+06
,,,,,,,,,,,41,2.80E+06,1.04E+07
,,,,,,,,,,,42,4.27E+06,1.47E+07
,,,,,,,,,,,43,6.55E+06,2.12E+07
,,,,,,,,,,,44,1.01E+07,3.13E+07
,,,,,,,,,,,45,1.56E+07,4.69E+07
,,,,,,,,,,,46,2.43E+07,7.12E+07
,,,,,,,,,,,47,3.80E+07,1.09E+08
,,,,,,,,,,,48,5.97E+07,1.69E+08
,,,,,,,,,,,49,9.43E+07,2.63E+08
,,,,,,,,,,,50,1.50E+08,4.13E+08
,,,,,,,,,,,51,2.39E+08,6.52E+08
,,,,,,,,,,,52,3.83E+08,1.04E+09
,,,,,,,,,,,53,6.18E+08,1.65E+09
,,,,,,,,,,,54,1.00E+09,2.65E+09
,,,,,,,,,,,55,1.63E+09,4.28E+09
,,,,,,,,,,,56,2.67E+09,6.95E+09
,,,,,,,,,,,57,4.38E+09,1.13E+10
,,,,,,,,,,,58,7.24E+09,1.86E+10
,,,,,,,,,,,59,1.20E+10,3.06E+10
,,,,,,,,,,,60,2.01E+10,5.07E+10
,,,,,,,,,,,61,3.37E+10,8.44E+10
,,,,,,,,,,,62,5.68E+10,1.41E+11
,,,,,,,,,,,63,9.61E+10,2.37E+11
,,,,,,,,,,,64,1.64E+11,4.01E+11
,,,,,,,,,,,65,2.80E+11,6.81E+11
,,,,,,,,,,,66,3.84E+12,4.52E+12
,,,,,,,,,,,67,5.32E+13,5.77E+13
,,,,,,,,,,,68,7.38E+14,7.96E+14
,,,,,,,,,,,69,1.03E+16,1.11E+16
,,,,,,,,,,,70,1.44E+17,1.55E+17
,,,,,,,,,,,71,2.03E+18,2.19E+18
,,,,,,,,,,,72,2.88E+19,3.10E+19
,,,,,,,,,,,73,4.09E+20,4.40E+20
,,,,,,,,,,,74,5.85E+21,6.29E+21
,,,,,,,,,,,75,8.42E+22,9.05E+22
,,,,,,,,,,,76,1.21E+24,1.30E+24
,,,,,,,,,,,77,1.76E+25,1.89E+25
,,,,,,,,,,,78,2.56E+26,2.75E+26
,,,,,,,,,,,79,3.74E+27,4.01E+27
,,,,,,,,,,,80,5.50E+28,5.90E+28
,,,,,,,,,,,81,8.12E+29,8.71E+29
,,,,,,,,,,,82,1.20E+31,1.29E+31
,,,,,,,,,,,83,1.79E+32,1.92E+32
,,,,,,,,,,,84,2.96E+33,3.15E+33
,,,,,,,,,,,85,4.04E+34,4.36E+34
,,,,,,,,,,,86,6.11E+35,6.55E+35
,,,,,,,,,,,87,9.27E+36,9.92E+36
,,,,,,,,,,,88,1.41E+38,1.51E+38
,,,,,,,,,,,89,2.17E+39,2.32E+39
,,,,,,,,,,,90,3.33E+40,3.56E+40
,,,,,,,,,,,91,5.15E+42,5.19E+42
,,,,,,,,,,,92,8.00E+44,8.05E+44
,,,,,,,,,,,93,1.25E+47,1.26E+47
,,,,,,,,,,,94,1.95E+49,1.96E+49
,,,,,,,,,,,95,3.07E+51,3.09E+51
,,,,,,,,,,,96,4.86E+53,4.89E+53
,,,,,,,,,,,97,7.72E+55,7.77E+55
,,,,,,,,,,,98,1.23E+58,1.24E+58
,,,,,,,,,,,99,1.97E+60,1.98E+60
,,,,,,,,,,,100,3.17E+62,3.19E+62
,,,,,,,,,,,101,5.12E+64,5.15E+64
,,,,,,,,,,,102,8.31E+66,8.36E+66
,,,,,,,,,,,103,1.35E+69,1.36E+69
,,,,,,,,,,,104,2.22E+71,2.23E+71
,,,,,,,,,,,105,3.64E+73,3.66E+73
,,,,,,,,,,,106,6.01E+75,6.05E+75
,,,,,,,,,,,107,9.97E+77,1.00E+78
,,,,,,,,,,,108,1.66E+80,1.67E+80
,,,,,,,,,,,109,2.78E+82,2.80E+82
,,,,,,,,,,,110,4.66E+84,4.69E+84
,,,,,,,,,,,111,7.86E+86,7.91E+86
,,,,,,,,,,,112,1.33E+89,1.34E+89
,,,,,,,,,,,113,2.26E+91,2.27E+91
,,,,,,,,,,,114,3.87E+93,3.89E+93
,,,,,,,,,,,115,6.63E+95,6.67E+95
,,,,,,,,,,,116,1.14E+98,1.15E+98
,,,,,,,,,,,117,1.97E+100,1.98E+100
,,,,,,,,,,,118,3.43E+102,3.45E+102
,,,,,,,,,,,119,5.97E+104,6.00E+104
,,,,,,,,,,,120,1.05E+107,1.06E+107
,,,,,,,,,,,121,1.84E+109,1.85E+109
,,,,,,,,,,,122,3.24E+111,3.26E+111
,,,,,,,,,,,123,5.75E+113,5.78E+113
,,,,,,,,,,,124,1.02E+116,1.03E+116
,,,,,,,,,,,125,1.83E+118,1.84E+118
,,,,,,,,,,,126,3.28E+120,3.30E+120
,,,,,,,,,,,127,5.90E+122,5.93E+122
,,,,,,,,,,,128,1.07E+125,1.08E+125
,,,,,,,,,,,129,1.94E+127,1.95E+127
,,,,,,,,,,,130,3.53E+129,3.55E+129
,,,,,,,,,,,131,6.46E+131,6.50E+131
,,,,,,,,,,,132,1.19E+134,1.20E+134
,,,,,,,,,,,133,2.19E+136,2.20E+136
,,,,,,,,,,,134,4.05E+138,4.07E+138
,,,,,,,,,,,135,7.53E+140,7.57E+140
,,,,,,,,,,,136,1.40E+143,1.41E+143
,,,,,,,,,,,137,2.63E+145,2.64E+145
,,,,,,,,,,,138,4.95E+147,4.98E+147
